Library	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-c38-mesc-a1h5-hkt-r57-c50_S734_	132	0.00228036	0.9566	546026	546026	72.750549	0.035573	0.0141891112588103	0.216180581192975	93	0.5625	0.430175	0.166652
f1216-c38-mesc-a1h5-hkt-r57-c51_S735_	128	0.0081457	0.9712	505078	505078	72.469654	0.031516	0.0131293530291928	0.101370888185869	91	0.5	0.426395	0.170218
f1216-c38-mesc-a1h5-hkt-r57-c52_S736_	131	0.00125691	0.9687	486342	486342	72.627943	0.031574	0.0126691709721774	0.0315498815388024	90	0.518072289156627	0.424598	0.167718
f1216-c38-mesc-a1h5-hkt-r57-c53_S737_	127	0.00254496	0.9639	555462	555462	72.293692	0.033212	0.014378786826134	0.0663834155521971	101	0.492957746478873	0.423651	0.176308
f1216-c38-mesc-a1h5-hkt-r57-c54_S738_	128	0.00376277	0.9729	366322	366322	73.03293	0.031535	0.00959625747613577	0.0263048016701461	68	0.516666666666667	0.425573	0.143041
f1216-c38-mesc-a1h5-hkt-r58-c39_S759_	110	0.00850198	0.9024	183336	183336	70.188992	0.017203	0.00468399923161597	0.0325320391294457	34	0.536585365853659	0.422681	0.129865
f1216-c38-mesc-a1h5-hkt-r58-c40_S760_	118	0.000676515	0.9303	211502	211502	71.390096	0.019414	0.00548370860121685	0.0708853057499239	39	0.54	0.432832	0.134608
f1216-c38-mesc-a1h5-hkt-r58-c41_S761_	111	0.00435146	0.8543	142076	142076	70.608864	0.017695	0.00364974511813606	0.0399944063767305	27	0.516129032258065	0.425134	0.106421
f1216-c38-mesc-a1h5-hkt-r58-c42_S762_	109	0.0126584	0.8774	191334	191334	69.95453	0.018502	0.0048655691455052	0.0440501472905392	36	0.480769230769231	0.42338	0.128272
f1216-c38-mesc-a1h5-hkt-r58-c43_S763_	122	0.00412206	0.9176	457646	457646	71.664564	0.028987	0.0117949312543421	0.116399002648248	83	0.5	0.422599	0.166431
f1216-c38-mesc-a1h5-hkt-r58-c44_S764_	124	0.0231135	0.9593	439208	439208	71.876537	0.027846	0.0113665506105371	0.0240422148330201	81	0.459459459459459	0.422631	0.163209
f1216-c38-mesc-a1h5-hkt-r58-c45_S765_	126	0.0120007	0.9524	414510	414510	71.880295	0.02535	0.0107554797289113	0.0232535575679172	78	0.541666666666667	0.423009	0.170358
f1216-c38-mesc-a1h5-hkt-r58-c46_S766_	125	0.0004238	0.9482	422270	422270	72.169773	0.026187	0.0109915103015664	0.0245599177303248	82	0.461538461538462	0.422976	0.16878
f1216-c38-mesc-a1h5-hkt-r58-c47_S767_	126	0.00187188	0.9297	349804	349804	72.132786	0.025734	0.0091048178191419	0.224268177525968	61	0.547169811320755	0.432644	0.152344
f1216-c38-mesc-a1h5-hkt-r58-c48_S768_	NA	0.0298913	0.5003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f1216-c38-mesc-a1h5-hkt-r58-c49_S769_	122	4.37121e-05	0.9611	303616	303616	72.161105	0.029419	0.00787582124355109	0.0296047834329882	57	0.488372093023256	0.42884	0.130676
f1216-c38-mesc-a1h5-hkt-r58-c50_S770_	128	0.00413636	0.9308	387490	387490	72.420816	0.026137	0.0101218061330368	0.0282285594244	73	0.475	0.422249	0.161831
f1216-c38-mesc-a1h5-hkt-r58-c51_S771_	122	0.0135699	0.9614	458488	458488	71.672031	0.027774	0.0118326263815193	0.09544076868511	83	0.5	0.425657	0.168634
f1216-c38-mesc-a1h5-hkt-r58-c52_S772_	130	0.00115625	0.9694	355868	355868	73.016987	0.030612	0.00932924977682857	0.0697312588401697	66	0.491525423728814	0.428531	0.146453
f1216-c38-mesc-a1h5-hkt-r58-c53_S773_	125	0.00379189	0.9528	491202	491202	71.921953	0.029462	0.0126990250067524	0.0359228738299064	90	0.438356164383562	0.422107	0.167373
f1216-c38-mesc-a1h5-hkt-r58-c54_S774_	127	0.00496416	0.9663	347802	347802	72.6824	0.028332	0.00909736187944794	0.0225972742037992	64	0.5	0.425846	0.146887
f1216-c38-mesc-a1h5-hkt-r59-c39_S795_	111	0.00834507	0.9053	184786	184786	70.184906	0.017739	0.00471819541239718	0.136285068474937	35	0.454545454545455	0.424801	NA
f1216-c38-mesc-a1h5-hkt-r59-c40_S796_	112	0.000889097	0.912	244584	244584	70.397585	0.019061	0.00625552899573264	0.0493831720469823	46	0.483333333333333	0.426772	NA
f1216-c38-mesc-a1h5-hkt-r59-c41_S797_	105	0.00571986	0.8166	134018	134018	69.768613	0.016729	0.00340512209080304	0.131369561537159	25	0.567567567567568	0.425504	0.10632
f1216-c38-mesc-a1h5-hkt-r59-c42_S798_	108	0.0145241	0.8677	176206	176206	70.005068	0.018603	0.00448364414223912	0.0548508973148023	33	0.447368421052632	0.423827	0.118007
f1216-c38-mesc-a1h5-hkt-r59-c43_S799_	122	0.0053032	0.8941	393132	393132	71.811371	0.030992	0.0101320007295304	0.0296875623478712	75	0.484848484848485	0.41961	0.147463
f1216-c38-mesc-a1h5-hkt-r59-c44_S800_	123	0.0318951	0.9488	446038	446038	71.709729	0.027957	0.0115152044722796	0.05483578056829	83	0.492753623188406	0.422378	0.166155
