Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-c38-mesc-a1h5-hkt-r57-c47_S731_	G	128	0.000937195	0.9566	357388	357388	72.477794	0.028692	0.009318331	0.027759242	65	0.4925373134	0.426371	0.146106
f1216-c38-mesc-a1h5-hkt-r57-c48_S732_	G	125	0.00130789	0.9603	515930	515930	72.039498	0.03114	0.0133370175	0.0427664749	96	0.5172413793	0.422	0.170869
f1216-c38-mesc-a1h5-hkt-r57-c49_S733_	G	127	5.59104E-05	0.9623	449754	449754	72.294766	0.031088	0.0116681623	0.0249236581	83	0.4918032787	0.422067	0.159788
f1216-c38-mesc-a1h5-hkt-r57-c50_S734_	P	132	0.00228036	0.9566	546026	546026	72.750549	0.035573	0.0141891113	0.2161805812	93	0.5625	0.430175	0.166652
f1216-c38-mesc-a1h5-hkt-r57-c51_S735_	P	128	0.0081457	0.9712	505078	505078	72.469654	0.031516	0.013129353	0.1013708882	91	0.5	0.426395	0.170218
f1216-c38-mesc-a1h5-hkt-r57-c52_S736_	G	131	0.00125691	0.9687	486342	486342	72.627943	0.031574	0.012669171	0.0315498815	90	0.5180722892	0.424598	0.167718
f1216-c38-mesc-a1h5-hkt-r57-c53_S737_	G	127	0.00254496	0.9639	555462	555462	72.293692	0.033212	0.0143787868	0.0663834156	101	0.4929577465	0.423651	0.176308
f1216-c38-mesc-a1h5-hkt-r57-c54_S738_	G	128	0.00376277	0.9729	366322	366322	73.03293	0.031535	0.0095962575	0.0263048017	68	0.5166666667	0.425573	0.143041
f1216-c38-mesc-a1h5-hkt-r58-c39_S759_	G	110	0.00850198	0.9024	183336	183336	70.188992	0.017203	0.0046839992	0.0325320391	34	0.5365853659	0.422681	0.129865
f1216-c38-mesc-a1h5-hkt-r58-c40_S760_	G	118	0.000676515	0.9303	211502	211502	71.390096	0.019414	0.0054837086	0.0708853057	39	0.54	0.432832	0.134608
f1216-c38-mesc-a1h5-hkt-r58-c41_S761_	G	111	0.00435146	0.8543	142076	142076	70.608864	0.017695	0.0036497451	0.0399944064	27	0.5161290323	0.425134	0.106421
f1216-c38-mesc-a1h5-hkt-r58-c42_S762_	G	109	0.0126584	0.8774	191334	191334	69.95453	0.018502	0.0048655691	0.0440501473	36	0.4807692308	0.42338	0.128272
f1216-c38-mesc-a1h5-hkt-r58-c43_S763_	G	122	0.00412206	0.9176	457646	457646	71.664564	0.028987	0.0117949313	0.1163990026	83	0.5	0.422599	0.166431
f1216-c38-mesc-a1h5-hkt-r58-c44_S764_	G	124	0.0231135	0.9593	439208	439208	71.876537	0.027846	0.0113665506	0.0240422148	81	0.4594594595	0.422631	0.163209
f1216-c38-mesc-a1h5-hkt-r58-c45_S765_	G	126	0.0120007	0.9524	414510	414510	71.880295	0.02535	0.0107554797	0.0232535576	78	0.5416666667	0.423009	0.170358
f1216-c38-mesc-a1h5-hkt-r58-c46_S766_	G	125	0.0004238	0.9482	422270	422270	72.169773	0.026187	0.0109915103	0.0245599177	82	0.4615384615	0.422976	0.16878
