Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing	coverage	spikiness	evenness.mean	evenness.med
f1216-c38-mesc-a1h5-hkt-f14-r5-c6_S1209_.processed.bam	G	127	0.00133088	0.9658	485988	485988	73.170134	0.043618	0.0125958368	0.1110226821	87	0.5	0.420459	0.138052	0.0128801619483484	0.227825996298903	0.23295139061943	0.232023062238559
f1216-c38-mesc-a1h5-hkt-f14-r6-c2_S1210_.processed.bam	G	122	0.00133764	0.9639	398550	398550	71.585063	0.032493	0.0102234053	0.0896161718	73	0.5	0.419254	0.142738	0.0103306572342257	0.206443652030242	0.219622732613918	0.216383781169152
f1216-c38-mesc-a1h5-hkt-f14-r6-c3_S1211_.processed.bam	G	115	0.0146739	0.969	330536	330536	70.715501	0.02332	0.0084551617	0.0593970864	60	0.4769230769	0.420163	0.154346	0.00846237189769391	0.197322198747359	0.203991461422456	0.203434094102077
f1216-c38-mesc-a1h5-hkt-f14-r6-c4_S1212_.processed.bam	G	113	0.00200285	0.9645	313716	313716	70.350046	0.024468	0.0079740474	0.1105064454	58	0.4642857143	0.418984	0.144889	0.00798771045667933	0.213759408424667	0.220252502838111	0.216603782421526
f1216-c38-mesc-a1h5-hkt-f14-r6-c5_S1213_.processed.bam	G	109	0.000944409	0.9031	332414	332414	70.229199	0.022911	0.0084482621	0.053690179	63	0.4925373134	0.419698	0.153409	0.00844818757046436	0.207014913351384	0.227253028837565	0.222961720112849
f1216-c38-mesc-a1h5-hkt-r57-c39_S723_.processed.bam	G	117	0.00639444	0.9245	203184	203184	70.946433	0.017816	0.0052438367	0.0375211585	39	0.4782608696	0.423024	0.134405	0.00522305136620254	0.229903407024209	0.238218754192007	0.233864890333778
f1216-c38-mesc-a1h5-hkt-r57-c40_S724_.processed.bam	G	117	0.000536176	0.9405	255202	255202	71.105128	0.018848	0.0065941303	0.0275482094	47	0.5	0.43299	0.151261	0.00657434256998569	0.224617440372216	0.235296376088104	0.233398351698897
f1216-c38-mesc-a1h5-hkt-r57-c41_S725_.processed.bam	G	115	0.00442367	0.8476	178998	178998	70.764774	0.018693	0.0046036939	0.1136658187	32	0.4523809524	0.426939	NA	0.00458751228127035	0.275339872655309	0.235129806812791	0.23504155438425
f1216-c38-mesc-a1h5-hkt-r57-c42_S726_.processed.bam	G	111	0.00937218	0.9116	231374	231374	70.294804	0.0204	0.0059009616	0.0511896179	43	0.5517241379	0.423913	0.137239	0.00589196712830658	0.234718087706047	0.227807427270197	0.225341146124282
f1216-c38-mesc-a1h5-hkt-r57-c43_S727_.processed.bam	G	126	0.0024883	0.9455	518096	518096	72.113784	0.033534	0.0133736927	0.0232553823	92	0.5090909091	0.420666	0.16525	0.0135403680101158	0.180061668263386	0.153971014452654	0.153875084642077
f1216-c38-mesc-a1h5-hkt-r57-c44_S728_.processed.bam	G	129	0.0148844	0.9693	466178	466178	72.532526	0.031709	0.0121262553	0.036297346	87	0.5294117647	0.420676	0.161587	0.0122579340946857	0.181927899336209	0.224687261960917	0.219459279521282
f1216-c38-mesc-a1h5-hkt-r57-c45_S729_.processed.bam	G	127	0.0101322	0.9587	490528	490528	72.292159	0.030306	0.0127357915	0.089043625	90	0.5094339623	0.424727	0.170405	0.012855505967684	0.197931145540224	0.229224710328566	0.226832500792577
f1216-c38-mesc-a1h5-hkt-r57-c46_S730_.processed.bam	G	129	0.000320203	0.9579	479102	479102	72.714912	0.03095	0.0125035659	0.0392561983	93	0.4512195122	0.426169	0.165966	0.0126273926040645	0.185195963878187	0.252282090697567	0.241563532108172
f1216-c38-mesc-a1h5-hkt-r57-c47_S731_.processed.bam	G	128	0.000937195	0.9566	357388	357388	72.477794	0.028692	0.009318331	0.027759242	65	0.4925373134	0.426371	0.146106	0.00939083321105622	0.202873499881093	0.199669124449947	0.198594715253054
f1216-c38-mesc-a1h5-hkt-r57-c48_S732_.processed.bam	G	125	0.00130789	0.9603	515930	515930	72.039498	0.03114	0.0133370175	0.0427664749	96	0.5172413793	0.422	0.170869	0.0134701274034784	0.173829928817729	0.213277066829971	0.208216404387051
f1216-c38-mesc-a1h5-hkt-r57-c49_S733_.processed.bam	G	127	5.59104e-05	0.9623	449754	449754	72.294766	0.031088	0.0116681623	0.0249236581	83	0.4918032787	0.422067	0.159788	0.0117846193180528	0.182691282602751	0.218232579693525	0.215645568692134
f1216-c38-mesc-a1h5-hkt-r57-c50_S734_.processed.bam	P	132	0.00228036	0.9566	546026	546026	72.750549	0.035573	0.0141891113	0.2161805812	93	0.5625	0.430175	0.166652	0.0143958598337918	0.276472773651896	0.268493519527593	0.267958537147496
f1216-c38-mesc-a1h5-hkt-r57-c51_S735_.processed.bam	P	128	0.0081457	0.9712	505078	505078	72.469654	0.031516	0.013129353	0.1013708882	91	0.5	0.426395	0.170218	0.013278042626884	0.219385715051259	0.226065632972407	0.225429446579877
f1216-c38-mesc-a1h5-hkt-r57-c52_S736_.processed.bam	G	131	0.00125691	0.9687	486342	486342	72.627943	0.031574	0.012669171	0.0315498815	90	0.5180722892	0.424598	0.167718	0.012805106851604	0.185165510712037	0.223918841607683	0.22139310296484
f1216-c38-mesc-a1h5-hkt-r57-c53_S737_.processed.bam	G	127	0.00254496	0.9639	555462	555462	72.293692	0.033212	0.0143787868	0.0663834156	101	0.4929577465	0.423651	0.176308	0.0145560142962111	0.194767900177932	0.218930803910614	0.217489884439312
f1216-c38-mesc-a1h5-hkt-r57-c54_S738_.processed.bam	G	128	0.00376277	0.9729	366322	366322	73.03293	0.031535	0.0095962575	0.0263048017	68	0.5166666667	0.425573	0.143041	0.00970108650425441	0.19978519554025	0.219804636515674	0.215482699839296
f1216-c38-mesc-a1h5-hkt-r58-c39_S759_.processed.bam	G	110	0.00850198	0.9024	183336	183336	70.188992	0.017203	0.0046839992	0.0325320391	34	0.5365853659	0.422681	0.129865	0.00466265754661514	0.248014941063321	0.228754354689388	0.226868550147498
f1216-c38-mesc-a1h5-hkt-r58-c40_S760_.processed.bam	G	118	0.000676515	0.9303	211502	211502	71.390096	0.019414	0.0054837086	0.0708853057	39	0.54	0.432832	0.134608	0.00547160111321876	0.245164678082791	0.23580993529464	0.234304365814223
f1216-c38-mesc-a1h5-hkt-r58-c41_S761_.processed.bam	G	111	0.00435146	0.8543	142076	142076	70.608864	0.017695	0.0036497451	0.0399944064	27	0.5161290323	0.425134	0.106421	0.00363522153274737	0.271749473744918	0.247723285741749	0.244926797901084
f1216-c38-mesc-a1h5-hkt-r58-c42_S762_.processed.bam	G	109	0.0126584	0.8774	191334	191334	69.95453	0.018502	0.0048655691	0.0440501473	36	0.4807692308	0.42338	0.128272	0.0048475346998015	0.24212862212026	0.229311646210863	0.227267671162109
f1216-c38-mesc-a1h5-hkt-r58-c43_S763_.processed.bam	G	122	0.00412206	0.9176	457646	457646	71.664564	0.028987	0.0117949313	0.1163990026	83	0.5	0.422599	0.166431	0.0118888384589428	0.212022804686118	0.223191518170049	0.221677779333611
f1216-c38-mesc-a1h5-hkt-r58-c44_S764_.processed.bam	G	124	0.0231135	0.9593	439208	439208	71.876537	0.027846	0.0113665506	0.0240422148	81	0.4594594595	0.422631	0.163209	0.0114444362806836	0.187248192179256	0.222116483889524	0.219243461641613
f1216-c38-mesc-a1h5-hkt-r58-c45_S765_.processed.bam	G	126	0.0120007	0.9524	414510	414510	71.880295	0.02535	0.0107554797	0.0232535576	78	0.5416666667	0.423009	0.170358	0.0107996890023393	0.189481458563095	0.21913118664643	0.215035006027297
f1216-c38-mesc-a1h5-hkt-r58-c46_S766_.processed.bam	G	125	0.0004238	0.9482	422270	422270	72.169773	0.026187	0.0109915103	0.0245599177	82	0.4615384615	0.422976	0.16878	0.0110470324694209	0.18519608420144	0.244336937787869	0.233223748654267
f1216-c38-mesc-a1h5-hkt-r58-c47_S767_.processed.bam	P	126	0.00187188	0.9297	349804	349804	72.132786	0.025734	0.0091048178	0.2242681775	61	0.5471698113	0.432644	0.152344	0.0091451017826112	0.272774645885641	0.250790537124765	0.250531967068927
f1216-c38-mesc-a1h5-hkt-r58-c49_S769_.processed.bam	G	122	4.37121e-05	0.9611	303616	303616	72.161105	0.029419	0.0078758212	0.0296047834	57	0.488372093	0.42884	0.130676	0.00794535284029154	0.21584751792458	0.233192302541789	0.229327486457282
f1216-c38-mesc-a1h5-hkt-r58-c50_S770_.processed.bam	G	128	0.00413636	0.9308	387490	387490	72.420816	0.026137	0.0101218061	0.0282285594	73	0.475	0.422249	0.161831	0.010177254054127	0.198053299465298	0.220448466118412	0.215556328132127
f1216-c38-mesc-a1h5-hkt-r58-c51_S771_.processed.bam	G	122	0.0135699	0.9614	458488	458488	71.672031	0.027774	0.0118326264	0.0954407687	83	0.5	0.425657	0.168634	0.0119210224181239	0.207646295534386	0.22448665742016	0.223621130967097
f1216-c38-mesc-a1h5-hkt-r58-c52_S772_.processed.bam	G	130	0.00115625	0.9694	355868	355868	73.016987	0.030612	0.0093292498	0.0697312588	66	0.4915254237	0.428531	0.146453	0.00942328181141414	0.215863999485732	0.236314159093215	0.233585290872801
f1216-c38-mesc-a1h5-hkt-r58-c53_S773_.processed.bam	G	125	0.00379189	0.9528	491202	491202	71.921953	0.029462	0.012699025	0.0359228738	90	0.4383561644	0.422107	0.167373	0.012802938040187	0.182367170187932	0.217818075358794	0.214568423584607
f1216-c38-mesc-a1h5-hkt-r58-c54_S774_.processed.bam	G	127	0.00496416	0.9663	347802	347802	72.6824	0.028332	0.0090973619	0.0225972742	64	0.5	0.425846	0.146887	0.0091652009501039	0.20172344856807	0.222759843367571	0.2206763579079
f1216-c38-mesc-a1h5-hkt-r59-c39_S795_.processed.bam	G	111	0.00834507	0.9053	184786	184786	70.184906	0.017739	0.0047181954	0.1362850685	35	0.4545454545	0.424801	NA	0.00469519558249541	0.247286141265097	0.238760206916347	0.235870303585389
f1216-c38-mesc-a1h5-hkt-r59-c40_S796_.processed.bam	G	112	0.000889097	0.912	244584	244584	70.397585	0.019061	0.006255529	0.049383172	46	0.4833333333	0.426772	NA	0.00623405323629895	0.22166272219145	0.231412055547564	0.228451012685385
f1216-c38-mesc-a1h5-hkt-r59-c41_S797_.processed.bam	G	105	0.00571986	0.8166	134018	134018	69.768613	0.016729	0.0034051221	0.1313695615	25	0.5675675676	0.425504	0.10632	0.00338405286439013	0.280274809160305	0.241867064947246	0.240424713839336
f1216-c38-mesc-a1h5-hkt-r59-c42_S798_.processed.bam	G	108	0.0145241	0.8677	176206	176206	70.005068	0.018603	0.0044836441	0.0548508973	33	0.4473684211	0.423827	0.118007	0.00446481847385105	0.255120089368833	0.231280908745277	0.229357380956807
f1216-c38-mesc-a1h5-hkt-r59-c43_S799_.processed.bam	G	122	0.0053032	0.8941	393132	393132	71.811371	0.030992	0.0101320007	0.0296875623	75	0.4848484848	0.41961	0.147463	0.0102277088841389	0.186237343696302	0.245220801849743	0.236727773778561
f1216-c38-mesc-a1h5-hkt-r59-c44_S800_.processed.bam	G	123	0.0318951	0.9488	446038	446038	71.709729	0.027957	0.0115152045	0.0548357806	83	0.4927536232	0.422378	0.166155	0.0115856872259131	0.199178272138028	0.220480270525766	0.217418322331134
f1216-c38-mesc-a1h5-hkt-r59-c45_S801_.processed.bam	G	121	0.0214029	0.9264	398576	398576	71.691198	0.026223	0.0103055869	0.0272010417	74	0.5111111111	0.42216	0.160868	0.0103511654592714	0.191894741763065	0.217934870045402	0.214200278959269
f1216-c38-mesc-a1h5-hkt-r59-c46_S802_.processed.bam	P	125	0.000504232	0.9409	505942	505942	72.154832	0.030205	0.0131124042	0.1251793796	91	0.5135135135	0.426478	0.172506	0.0132214607305128	0.214733529440765	0.233220753589651	0.232489620561684
f1216-c38-mesc-a1h5-hkt-r59-c47_S803_.processed.bam	P	123	0.00216044	0.9187	369322	369322	71.937201	0.028929	0.0095553354	0.0930369325	67	0.5079365079	0.42958	0.146088	0.00962078989943771	0.238513019515213	0.253407361060752	0.252993338080806
f1216-c38-mesc-a1h5-hkt-r59-c48_S804_.processed.bam	G	122	0.00146506	0.9556	457360	457360	71.702151	0.029469	0.0117878883	0.033980173	85	0.4923076923	0.421769	0.164669	0.0118783547097201	0.18782099312036	0.221944207779414	0.217064403845728
