filename	quality	coverage	spikiness	spikyness	background	evenness
blm-recq5-1-single-c3-w11-3d6_S56_.trimmed.mdup.bam	poor	9	0.377852888026237	0.250890279054423	0.0324996017205672	0.250890279054423
blm-recq5-1-single-c3-w19-3d6_S60_.trimmed.mdup.bam	okay	26	0.265062346318509	0.237956240830056	0.0214725425053742	0.237956240830056
blm-recq5-1-single-c7-w14-3d6_S212_.trimmed.mdup.bam	acceptable	59	0.199979166552448	0.23039721956087	0.0129972338923417	0.23039721956087
blm-recq5-1-single-c7-w28-3d6_S226_.trimmed.mdup.bam	poor	16	0.318404896168133	0.251892099850366	0.0208797891749443	0.251892099850366
blm-recq5-1-single-c7-w34-3d6_S232_.trimmed.mdup.bam	okay	26	0.258793969849246	0.234234503925147	0.0203525349809195	0.234234503925147
blm-recq5-1-single-f13-r1-c1_S393_.trimmed.mdup.bam	good	233	0.221286911374525	0.22187603132849	0.0119049105674813	0.22187603132849
blm-recq5-1-single-f13-r1-c2_S394_.trimmed.mdup.bam	really_good	221	0.119693695216478	0.186694088936602	0.0116499093456403	0.186694088936602
blm-recq5-1-single-f13-r3-c1_S407_.trimmed.mdup.bam	acceptable	97	0.335785679043784	0.263466966597222	0.0206376504828681	0.263466966597222
blm-recq5-1-single-f13-r7-c1_S435_.trimmed.mdup.bam	really_good	233	0.138778291444106	0.195168829777774	0.0110345907027704	0.195168829777774
blm-recq5-1-single-f13-r7-c4_S438_.trimmed.mdup.bam	good	160	0.198284041257935	0.246205775783213	0.0136745441093267	0.246205775783213
blm-recq5-1-single-f14-r1-c1_S442_.trimmed.mdup.bam	good	169	0.12814673490607	0.193226843593555	0.00948109127311958	0.193226843593555
blm-recq5-1-single-f14-r1-c2_S443_.trimmed.mdup.bam	acceptable	157	0.293050221934068	0.250924273181984	0.014238189083151	0.250924273181984
blm-recq5-1-single-f14-r1-c4_S445_.trimmed.mdup.bam	good	165	0.132200827089758	0.199674501513848	0.0123757113376274	0.199674501513848
blm-recq5-1-single-f14-r1-c7_S448_.trimmed.mdup.bam	good	156	0.224465504135316	0.224807981257571	0.0151622364176715	0.224807981257571
blm-recq5-1-single-f14-r2-c4_S452_.trimmed.mdup.bam	acceptable	117	0.336314770443783	0.262488184339161	0.0109046451553534	0.262488184339161
blm-recq5-1-single-f14-r2-c6_S454_.trimmed.mdup.bam	good	171	0.136820482145809	0.205333698638732	0.0426954927183714	0.205333698638732
blm-recq5-1-single-f14-r3-c4_S459_.trimmed.mdup.bam	acceptable	71	0.162817551963049	0.205430711774235	0.012230373926567	0.205430711774235
blm-recq5-1-single-f14-r3-c6_S461_.trimmed.mdup.bam	good	161	0.148487687226554	0.201182624335058	0.0728476012552352	0.201182624335058
blm-recq5-1-single-f14-r3-c7_S462_.trimmed.mdup.bam	acceptable	100	0.279524749606071	0.229412488044015	0.00999929767882853	0.229412488044015
blm-recq5-1-single-f14-r4-c4_S466_.trimmed.mdup.bam	good	192	0.125742912562384	0.193635659282609	0.0165617349613441	0.193635659282609
blm-recq5-1-single-f14-r4-c5_S467_.trimmed.mdup.bam	acceptable	158	0.286147919991462	0.255193393469502	0.0352341195915283	0.255193393469502
blm-recq5-1-single-f14-r4-c6_S468_.trimmed.mdup.bam	good	122	0.19584827675164	0.215839829248496	0.0127146936398119	0.215839829248496
blm-recq5-1-single-f14-r4-c7_S469_.trimmed.mdup.bam	acceptable	78	0.160542497167421	0.205209624100878	0.012085838326132	0.205209624100878
blm-recq5-1-single-f14-r5-c3_S472_.trimmed.mdup.bam	acceptable	200	0.274072595910862	0.242908057398908	0.0112632027943243	0.242908057398908
blm-recq5-1-single-f14-r5-c6_S475_.trimmed.mdup.bam	acceptable	53	0.212834204299579	0.218117138109289	0.0102692713833157	0.218117138109289
blm-recq5-1-single-f14-r6-c1_S477_.trimmed.mdup.bam	good	153	0.134657822302783	0.198796929058396	0.0154054101497358	0.198796929058396
blm-recq5-1-single-f14-r6-c3_S479_.trimmed.mdup.bam	good	184	0.235041894864953	0.2197394993222	0.0129725902840921	0.2197394993222
blm-recq5-1-single-f14-r6-c4_S480_.trimmed.mdup.bam	acceptable	71	0.24271388670987	0.227181215385314	0.015416113436648	0.227181215385314
blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam	good	139	0.220793162219226	0.215794352930987	0.00836959754313772	0.215794352930987
blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam	okay	44	0.289161104608863	0.233357315742993	0.0149601996662384	0.233357315742993
blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam	good	163	0.133164362359638	0.20023546438009	0.00955661933864708	0.20023546438009
